기간,자치구,합계,합계,합계,합계,승용차,승용차,승용차,승용차,승합차,승합차,승합차,승합차,화물차,화물차,화물차,화물차,특수차,특수차,특수차,특수차,이륜차,이륜차,이륜차
기간,자치구,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용
2016.03,강서구,191672,295,176634,14743,161011,81,150706,10224,8788,41,7323,1424,21565,162,18504,2899,308,11,101,196,18466,162,18304
2016.03,구로구,138898,224,127915,10759,113670,55,106541,7074,7187,50,6179,958,17790,110,15094,2586,251,9,101,141,16515,59,16456
2016.03,금천구,83320,121,75474,7725,64986,24,60186,4776,4729,11,4245,473,13475,84,11000,2391,130,2,43,85,11787,196,11591
2016.03,영등포구,147513,306,137052,10155,119330,89,114423,4818,6511,42,6032,437,20668,160,16228,4280,1004,15,369,620,16893,226,16667
2016.03,동작구,102647,279,99545,2823,88949,71,87670,1208,4015,47,3852,116,9291,148,7943,1200,392,13,80,299,15221,214,15007
2016.03,관악구,121381,254,115343,5784,102108,61,98725,3322,5717,35,5391,291,13330,148,11191,1991,226,10,36,180,24693,285,24408
2016.03,서초구,178642,624,167709,10309,154360,285,149875,4200,6196,151,5209,836,17763,173,12489,5101,323,15,136,172,14276,277,13999
2016.03,강남구,243718,354,223553,19811,214883,107,198542,16234,7595,49,6616,930,20882,179,18235,2468,358,19,160,179,17248,348,16900
2016.03,송파구,219311,330,207232,11749,187160,93,180939,6128,8521,85,6774,1662,23332,144,19434,3754,298,8,85,205,18448,239,18209
2016.03,강동구,137736,218,129054,8464,115249,52,109821,5376,6025,33,5284,708,16186,127,13905,2154,276,6,44,226,16856,151,16705
2016.03,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2016.04,서울시,3069594,11155,2863211,195228,2576104,4006,2454289,117809,139645,3043,119719,16883,346846,3760,287232,55854,6999,346,1971,4682,453174,4724,448450
2016.04,종로구,49686,3546,44540,1600,39647,1738,37452,457,4107,1360,2412,335,5756,366,4651,739,176,82,25,69,13400,324,13076
2016.04,중구,52655,997,47743,3915,41258,253,39131,1874,3756,547,2827,382,7471,182,5722,1567,170,15,63,92,14953,251,14702
2016.04,용산구,76082,349,73700,2033,65388,137,64170,1081,3052,50,2949,53,7517,150,6504,863,125,12,77,36,16605,223,16382
2016.04,성동구,96625,266,87899,8460,81134,80,74922,6132,4027,34,3387,606,11293,143,9538,1612,171,9,52,110,20191,118,20073
2016.04,광진구,96855,277,90990,5588,80289,71,77192,3026,4557,43,3841,673,11742,156,9936,1650,267,7,21,239,18726,191,18535
2016.04,동대문구,97059,271,90964,5824,78199,83,75084,3032,4738,56,4430,252,13911,121,11411,2379,211,11,39,161,24323,242,24081
2016.04,중랑구,111138,190,101399,9549,89124,42,83028,6054,5788,32,5229,527,15884,100,13075,2709,342,16,67,259,24388,100,24288
2016.04,성북구,116923,228,111178,5517,98866,69,96131,2666,6296,31,5149,1116,11649,118,9871,1660,112,10,27,75,26402,164,26238
2016.04,강북구,76229,285,71082,4862,61972,86,59093,2793,4635,48,3815,772,9489,134,8134,1221,133,17,40,76,21857,76,21781
2016.04,도봉구,96487,234,88521,7732,80592,57,75102,5433,4617,40,4130,447,11094,131,9250,1713,184,6,39,139,14632,156,14476
2016.04,노원구,155582,254,145605,9723,134064,53,127485,6526,6928,48,6018,862,14302,144,12048,2110,288,9,54,225,15323,95,15228
2016.04,은평구,127023,227,119918,6878,106449,66,102360,4023,6362,35,5538,789,13990,117,11977,1896,222,9,43,170,21198,143,21055
2016.04,서대문구,84076,405,78591,5080,71069,162,68131,2776,4008,73,3542,393,8857,159,6882,1816,142,11,36,95,14955,167,14788
2016.04,마포구,117262,280,109511,7471,98534,65,94418,4051,5217,46,4452,719,13173,153,10546,2474,338,16,95,227,17638,178,17460
2016.04,양천구,150003,309,140580,9114,126351,112,121341,4898,6583,51,5400,1132,16573,137,13741,2695,496,9,98,389,17759,141,17618
2016.04,강서구,191921,298,176832,14791,161306,82,150975,10249,8760,41,7258,1461,21539,164,18499,2876,316,11,100,205,18524,162,18362
2016.04,구로구,139036,229,128185,10622,113801,56,106779,6966,7152,50,6185,917,17831,114,15121,2596,252,9,100,143,16524,57,16467
2016.04,금천구,83424,124,75688,7612,65101,24,60410,4667,4716,11,4234,471,13479,87,11003,2389,128,2,41,85,11852,196,11656
2016.04,영등포구,148021,301,137515,10205,119779,90,114864,4825,6485,41,6000,444,20700,155,16237,4308,1057,15,414,628,16882,227,16655
2016.04,동작구,102840,278,99763,2799,89212,74,87927,1211,3996,47,3833,116,9239,143,7922,1174,393,14,81,298,15298,214,15084
2016.04,관악구,121522,260,115466,5796,102275,62,98872,3341,5708,35,5382,291,13317,153,11176,1988,222,10,36,176,24696,285,24411
2016.04,서초구,179012,627,167990,10395,154776,287,150209,4280,6165,151,5168,846,17742,174,12475,5093,329,15,138,176,14372,277,14095
2016.04,강남구,243350,356,223405,19589,214568,109,198427,16032,7552,49,6584,919,20874,180,18236,2458,356,18,158,180,17272,348,16924
2016.04,송파구,219322,343,207372,11607,187255,95,181134,6026,8474,90,6732,1652,23295,150,19423,3722,298,8,83,207,18556,239,18317
2016.04,강동구,137461,221,128774,8466,115095,53,109652,5390,5966,34,5224,708,16129,129,13854,2146,271,5,44,222,16835,150,16685
2016.04,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2016.05,서울시,3073263,11150,2866614,195499,2580688,3973,2458493,118222,139073,3048,119180,16845,346452,3785,286910,55757,7050,344,2031,4675,453908,4714,449194
2016.05,종로구,49614,3558,44450,1606,39599,1743,37393,463,4092,1366,2391,335,5745,367,4639,739,178,82,27,69,13471,323,13148
2016.05,중구,52513,990,47634,3889,41155,246,39041,1868,3729,546,2815,368,7459,183,5714,1562,170,15,64,91,14975,251,14724
2016.05,용산구,76052,365,73625,2062,65360,139,64121,1100,3056,51,2953,52,7504,163,6471,870,132,12,80,40,16627,222,16405
2016.05,성동구,96850,270,88155,8425,81400,84,75178,6138,3977,34,3382,561,11297,143,9541,1613,176,9,54,113,20225,117,20108
2016.05,광진구,96926,277,91060,5589,80400,71,77309,3020,4541,43,3817,681,11721,156,9914,1651,264,7,20,237,18730,192,18538
2016.05,동대문구,97164,268,91061,5835,78364,82,75247,3035,4722,57,4411,254,13864,120,11360,2384,214,9,43,162,24331,239,24092
