순위,회사명,15년 매출액,14년 매출액,증감율(%),기업형태,위치
233,(주)아워홈,"1,354,797","1,272,767",6,외감,
234,한신공영(주),"1,354,597","1,065,603",27,유가,
235,(주)한라,"1,353,399","1,407,803",-4,유가,
236,(주)경동도시가스,"1,352,478","2,399,451",-44,유가,
237,현대엘리베이터(주),"1,347,989","1,211,070",11,유가,
238,고려해운(주),"1,336,936","1,245,126",7,외감,
239,글로벌세아(주),"1,320,428","1,424,910",-7,외감,
240,태광실업(주),"1,318,350","1,060,082",24,외감,
241,한국석유공사,"1,268,562","1,040,991",22,외감,
242,씨제이이앤엠(주),"1,261,748","1,154,128",9,코스,
243,매일유업(주),"1,254,427","1,202,641",4,코스,
244,(주)농협사료,"1,247,164","1,325,102",-6,외감,
245,(주)성우하이텍,"1,246,224","1,049,102",19,코스,
246,코원에너지서비스(주),"1,244,090","1,524,978",-18,외감,
247,(주)유라코퍼레이션,"1,218,370","1,098,941",11,외감,
248,(주)현대백화점,"1,216,059","1,121,050",8,유가,
249,(주)범한판토스,"1,208,368","1,244,846",-3,외감,
250,CJ푸드빌(주),"1,206,275","1,121,129",8,외감,
251,엠지손해보험(주),"1,205,285","1,120,082",8,외감,
252,남양유업(주),"1,204,321","1,126,347",7,유가,
253,롯데렌탈(주),"1,200,028","1,009,823",19,외감,
254,삼성전자서비스(주),"1,188,010","1,358,126",-13,외감,
255,남해화학(주),"1,183,345","1,251,761",-5,유가,
256,서울메트로,"1,182,708","1,114,767",6,외감,
257,(주)씨제이헬로비전,"1,182,613","1,084,790",9,유가,
258,(주)포스코켐텍,"1,175,272","1,330,564",-12,코스,
259,한전KPS(주),"1,171,082","1,078,526",9,유가,
260,(주)삼양사,"1,169,694","1,264,340",-7,유가,
261,DGB생명보험(주),"1,163,110","1,284,314",-9,외감,
262,롯데정밀화학(주),"1,162,113","1,211,718",-4,유가,
263,현대오토에버(주),"1,138,804","982,814",16,외감,
264,(주)영원무역,"1,134,905","1,140,086",0,유가,
265,(주)포워드벤처스,"1,133,752","348,497",225,외감,
266,대한제당(주),"1,127,441","1,158,583",-3,유가,
267,계룡건설산업(주),"1,124,407","1,074,601",5,유가,
268,(주)유한양행,"1,120,937","1,008,180",11,유가,
269,하이호금속(주),"1,119,678","846,159",32,외감,
270,(주)씨제이오쇼핑,"1,119,375","1,277,324",-12,코스,
271,세메스(주),"1,118,970","914,413",22,외감,
272,에프알엘코리아(주),"1,116,905","895,435",25,외감,
273,한미약품(주),"1,113,239","582,023",91,유가,
274,(주)지에스홈쇼핑,"1,091,331","1,060,678",3,코스,
275,신세계건설(주),"1,085,593","835,987",30,유가,
276,(주)케이피아이씨코포레이션,"1,075,007","1,041,713",3,외감,
277,(주)영풍,"1,068,399","1,103,441",-3,유가,
278,한국미니스톱(주),"1,068,340","830,789",29,외감,
279,코카콜라음료(주),"1,065,051","1,000,892",6,외감,
280,희성촉매(주),"1,063,852","1,173,391",-9,외감,
281,한국델파이(주),"1,061,716","1,100,349",-4,외감,
282,(주)서연이화,"1,060,792","477,553",122,유가,
283,(주)에스에이엠티,"1,059,343","983,166",8,코스,
284,인천도시공사,"1,058,795","1,084,411",-2,외감,
285,SPP조선(주),"1,055,958","1,184,610",-11,외감,
286,씨제이올리브네트웍스(주),"1,055,786","345,403",206,외감,
287,(주)부산도시가스,"1,054,182","1,277,764",-18,유가,
288,도시바일렉트로닉스코리아(주),"1,053,938","1,259,332",-16,외감,
289,(주)다이소아성산업,"1,049,336","890,045",18,외감,
290,STX중공업(주),"1,048,430","1,002,439",5,유가,
291,(주)창신INC,"1,043,699","881,266",18,외감,
292,한일시멘트(주),"1,043,595","1,012,431",3,유가,
293,에스케이케미칼(주),"1,039,864","1,232,854",-16,유가,
294,(주)휴맥스,"1,038,035","1,072,433",-3,코스,
295,(주)호반건설,"1,032,253","975,079",6,외감,
296,(주)예스코,"1,031,912","1,233,261",-16,유가,
297,소니코리아(주),"1,031,700","1,303,003",-21,외감,
298,(주)이수화학,"1,030,109","1,476,020",-30,유가,
299,(주)서희건설,"1,025,776","915,530",12,코스,
300,한솔섬유(주),"1,021,300","834,939",22,외감,
301,동서석유화학(주),"1,017,777","1,089,949",-7,외감,
302,(주)한국귀금속쓰리엠,"1,013,848","768,034",32,외감,
303,(주)한양,"1,010,236","1,132,073",-11,외감,
304,(주)지오영,"1,009,077","1,012,342",0,외감,
305,(주)OCI상사,"1,004,419","770,785",30,외감,
306,동두천드림파워(주),"1,003,346",0,,외감,
307,(주)태영건설,"1,002,428","1,109,445",-10,유가,
308,롯데알미늄(주),"999,992","996,712",0,외감,
309,동부대우전자(주),"999,446","1,042,216",-4,외감,
310,엘에스엠트론(주),"992,067","1,023,800",-3,외감,
311,타타대우상용차(주),"987,946","884,079",12,외감,
312,(주)삼립식품,"985,825","1,028,618",-4,유가,
313,현대로지스틱스(주),"984,819","980,748",0,외감,
314,한화호텔앤드리조트(주),"971,833","1,004,621",-3,외감,
315,(주)세아창원특수강,"971,557","1,261,374",-23,외감,
316,악사손해보험(주),"970,203","905,810",7,외감,
317,(주)케이씨씨건설,"969,648","1,000,276",-3,코스,
318,(주)포스코엔지니어링,"964,926","928,505",4,외감,
319,서울반도체(주),"963,649","841,790",14,코스,
320,엘에스글로벌인코퍼레이티드(주),"960,769","763,413",26,외감,
321,(주)롯데리아,"960,108","987,090",-3,외감,
322,세방전지(주),"956,256","955,578",0,유가,
323,쌍용건설(주),"941,316","1,321,279",-29,외감,
324,(주)한국야쿠르트,"937,184","967,394",-3,외감,
325,(주)휴비스,"918,891","1,122,318",-18,유가,
326,(주)한국인삼공사,"917,786","812,795",13,외감,
