4. 2014년 고층 건축물 현황,,,,,,
,,,,,,
,부산광역시,,WBC the PALACE,101동,51,부산광역시 해운대구 우동
,부산광역시,,WBC the PALACE,102동,51,부산광역시 해운대구 우동
,부산광역시,,더샾 센텀파크 1차 아파트,104동,51,부산광역시 해운대구 재송동
,부산광역시,,더샾 센텀파크 1차 아파트,106동,51,부산광역시 해운대구 재송동
,부산광역시,,더샾 센텀파크 1차 아파트,114동,51,부산광역시 해운대구 재송동
,부산광역시,,더샾 센텀파크 1차 아파트,113동,51,부산광역시 해운대구 재송동
,부산광역시,,더샾 센텀파크 1차 아파트,112동,51,부산광역시 해운대구 재송동
,부산광역시,,더샾 센텀파크 1차 아파트,110동,51,부산광역시 해운대구 재송동
,부산광역시,,더샾 센텀파크 1차 아파트,108동,51,부산광역시 해운대구 재송동
,부산광역시,,더샾 센텀파크 1차 아파트,107동,51,부산광역시 해운대구 재송동
,부산광역시,,더샾 센텀파크 1차 아파트,102동,51,부산광역시 해운대구 재송동
,인천광역시,,인천 소래논현구역 C10블록 에코메트로 3차 더 타워,A,51,인천광역시 남동구 논현동
,인천광역시,,청라더샵레이크파크,452동,51,인천광역시 서구 경서동
,경기도,,일산 두산위브더제니스,108동,51,경기도 고양시 일산서구 탄현동
,서울특별시,,더클래식500 노유자시설동,노유자시설동,50,서울특별시 광진구 자양동
,서울특별시,,더샵스타시티,C동,50,서울특별시 광진구 자양동
,서울특별시,,전경련회관,타워동,50,서울특별시 영등포구 여의도동
,부산광역시,,더샾센텀파크2차아파트,206동,50,부산광역시 해운대구 재송동
,부산광역시,,더샾센텀파크2차아파트,202동,50,부산광역시 해운대구 재송동
,부산광역시,,더샾센텀파크2차아파트,204동,50,부산광역시 해운대구 재송동
,인천광역시,,에코메트로 9블록 한화 꿈에그린아파트,905동,50,인천광역시 남동구 논현동
,인천광역시,,청라 롯데캐슬,201,50,인천광역시 서구 경서동
,인천광역시,,청라푸르지오아파트,362동,50,인천광역시 서구 경서동
,대전광역시,,금강엑슬루타워,111동,50,대전광역시 대덕구 석봉동
,대전광역시,,금강엑슬루타워,105동,50,대전광역시 대덕구 석봉동
,대전광역시,,금강엑슬루타워,108동,50,대전광역시 대덕구 석봉동
,대전광역시,,금강엑슬루타워,102동,50,대전광역시 대덕구 석봉동
,대전광역시,,금강엑슬루타워,106동,50,대전광역시 대덕구 석봉동
,대전광역시,,금강엑슬루타워,103동,50,대전광역시 대덕구 석봉동
,대전광역시,,금강엑슬루타워,110동,50,대전광역시 대덕구 석봉동
,대전광역시,,금강엑슬루타워,107동,50,대전광역시 대덕구 석봉동
