기간,자치구,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),구간이동,구간이동,구간이동,구간이동,구간이동,구간이동,전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),전입(②),전입(②),전입(②),전출(③),전출(③),전출(③),전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,소계,남자,여자,소계,남자,여자,소계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2017.01,양천구,4654,2314,2340,5131,2552,2579,1496,742,754,1753,867,886,1898,923,975,1405,705,700,1737,887,850,-477,-238,-239
2017.01,강서구,6685,3222,3463,6245,3074,3171,1950,939,1011,2386,1171,1215,1780,900,880,2349,1112,1237,2515,1235,1280,440,148,292
2017.01,구로구,3975,2025,1950,4307,2202,2105,834,422,412,1340,676,664,1522,766,756,1801,927,874,1951,1014,937,-332,-177,-155
2017.01,금천구,3508,1781,1727,2812,1430,1382,994,486,508,1165,603,562,672,341,331,1349,692,657,1146,603,543,696,351,345
2017.01,영등포구,4322,2142,2180,5051,2584,2467,892,460,432,1584,802,782,2247,1142,1105,1846,880,966,1912,982,930,-729,-442,-287
2017.01,동작구,4982,2422,2560,5385,2751,2634,1049,521,528,1990,948,1042,2221,1147,1074,1943,953,990,2115,1083,1032,-403,-329,-74
2017.01,관악구,7221,3688,3533,7306,3816,3490,1764,879,885,2093,1086,1007,2620,1358,1262,3364,1723,1641,2922,1579,1343,-85,-128,43
2017.01,서초구,5785,2773,3012,5980,2874,3106,1528,734,794,2399,1156,1243,2529,1216,1313,1858,883,975,1923,924,999,-195,-101,-94
2017.01,강남구,7503,3610,3893,7745,3817,3928,1996,964,1032,2745,1332,1413,3007,1482,1525,2762,1314,1448,2742,1371,1371,-242,-207,-35
2017.01,송파구,8991,4327,4664,7937,3836,4101,2576,1244,1332,3051,1486,1565,2267,1071,1196,3364,1597,1767,3094,1521,1573,1054,491,563
2017.01,강동구,6412,3184,3228,5634,2803,2831,2496,1251,1245,2081,999,1082,1124,525,599,1835,934,901,2014,1027,987,778,381,397
2017.02,서울특별시,161130,78818,82312,162678,80662,82016,42329,20624,21705,61317,30107,31210,61317,30107,31210,57484,28087,29397,59032,29931,29101,-1548,-1844,296
2017.02,종로구,2876,1431,1445,2878,1419,1459,453,209,244,1286,640,646,1531,738,793,1137,582,555,894,472,422,-2,12,-14
2017.02,중구,1938,949,989,2232,1116,1116,282,136,146,908,453,455,1310,643,667,748,360,388,640,337,303,-294,-167,-127
2017.02,용산구,3540,1778,1762,3786,1836,1950,615,318,297,1520,781,739,1812,849,963,1405,679,726,1359,669,690,-246,-58,-188
2017.02,성동구,6412,3183,3229,4956,2525,2431,1226,616,610,3189,1570,1619,2276,1144,1132,1997,997,1000,1454,765,689,1456,658,798
2017.02,광진구,5739,2785,2954,5783,2838,2945,1404,662,742,2171,1075,1096,2362,1159,1203,2164,1048,1116,2017,1017,1000,-44,-53,9
2017.02,동대문구,5509,2775,2734,5786,2960,2826,1130,562,568,2008,1031,977,2674,1354,1320,2371,1182,1189,1982,1044,938,-277,-185,-92
2017.02,중랑구,4674,2343,2331,5053,2512,2541,1526,744,782,1758,904,854,1599,781,818,1390,695,695,1928,987,941,-379,-169,-210
2017.02,성북구,7900,3774,4126,7670,3812,3858,2335,1090,1245,3024,1471,1553,3046,1529,1517,2541,1213,1328,2289,1193,1096,230,-38,268
2017.02,강북구,3623,1693,1930,4039,1968,2071,966,465,501,1549,746,803,1716,840,876,1108,482,626,1357,663,694,-416,-275,-141
2017.02,도봉구,3467,1665,1802,4015,1949,2066,990,463,527,1461,724,737,1488,716,772,1016,478,538,1537,770,767,-548,-284,-264
2017.02,노원구,7344,3585,3759,8544,4307,4237,2258,1112,1146,2387,1174,1213,2900,1408,1492,2699,1299,1400,3386,1787,1599,-1200,-722,-478
2017.02,은평구,5880,2848,3032,6457,3125,3332,2005,948,1057,1943,948,995,1819,849,970,1932,952,980,2633,1328,1305,-577,-277,-300
2017.02,서대문구,5830,2790,3040,5351,2610,2741,1111,535,576,2629,1250,1379,2280,1107,1173,2090,1005,1085,1960,968,992,479,180,299
2017.02,마포구,6713,3132,3581,7214,3482,3732,1535,739,796,2566,1206,1360,3208,1540,1668,2612,1187,1425,2471,1203,1268,-501,-350,-151
2017.02,양천구,6577,3264,3313,7394,3712,3682,2031,1012,1019,2430,1190,1240,2836,1383,1453,2116,1062,1054,2527,1317,1210,-817,-448,-369
2017.02,강서구,8584,4148,4436,8327,3995,4332,2439,1145,1294,3191,1547,1644,2320,1105,1215,2954,1456,1498,3568,1745,1823,257,153,104
2017.02,구로구,5107,2508,2599,5872,2885,2987,1129,529,600,1729,881,848,1973,978,995,2249,1098,1151,2770,1378,1392,-765,-377,-388
2017.02,금천구,3570,1837,1733,3427,1769,1658,983,492,491,1157,605,552,836,438,398,1430,740,690,1608,839,769,143,68,75
2017.02,영등포구,5964,2957,3007,7087,3563,3524,1235,621,614,2369,1167,1202,3093,1557,1536,2360,1169,1191,2759,1385,1374,-1123,-606,-517
2017.02,동작구,7118,3471,3647,7309,3681,3628,1418,696,722,2677,1268,1409,3163,1589,1574,3023,1507,1516,2728,1396,1332,-191,-210,19
2017.02,관악구,9859,4914,4945,9733,5018,4715,2471,1244,1227,2791,1374,1417,3501,1773,1728,4597,2296,2301,3761,2001,1760,126,-104,230
2017.02,서초구,8204,3966,4238,8413,4095,4318,2075,1021,1054,3535,1698,1837,3607,1742,1865,2594,1247,1347,2731,1332,1399,-209,-129,-80
2017.02,강남구,10970,5303,5667,11638,5668,5970,3119,1502,1617,4302,2112,2190,4656,2255,2401,3549,1689,1860,3863,1911,1952,-668,-365,-303
2017.02,송파구,13113,6332,6781,11852,5876,5976,3932,1905,2027,4634,2202,2432,3731,1854,1877,4547,2225,2322,4189,2117,2072,1261,456,805
2017.02,강동구,10619,5387,5232,7862,3941,3921,3661,1858,1803,4103,2090,2013,1580,776,804,2855,1439,1416,2621,1307,1314,2757,1446,1311
2017.03,서울특별시,143477,71724,71753,148176,74397,73779,41907,20395,21512,53564,26668,26896,53564,26668,26896,48006,24661,23345,52705,27334,25371,-4699,-2673,-2026
2017.03,종로구,4272,2155,2117,2963,1484,1479,673,319,354,2227,1101,1126,1463,718,745,1372,735,637,827,447,380,1309,671,638
2017.03,중구,1741,841,900,2084,1072,1012,334,157,177,806,387,419,1180,601,579,601,297,304,570,314,256,-343,-231,-112
2017.03,용산구,3216,1598,1618,3490,1765,1725,674,325,349,1429,723,706,1612,838,774,1113,550,563,1204,602,602,-274,-167,-107
2017.03,성동구,5029,2465,2564,4313,2240,2073,992,476,516,2534,1245,1289,1898,989,909,1503,744,759,1423,775,648,716,225,491
2017.03,광진구,5253,2609,2644,5519,2809,2710,1466,735,731,1877,909,968,2142,1083,1059,1910,965,945,1911,991,920,-266,-200,-66
2017.03,동대문구,4758,2465,2293,5087,2646,2441,1297,654,643,1684,859,825,2011,1029,982,1777,952,825,1779,963,816,-329,-181,-148
2017.03,중랑구,5161,2608,2553,5706,2887,2819,2071,1004,1067,1712,871,841,1630,810,820,1378,733,645,2005,1073,932,-545,-279,-266
2017.03,성북구,6574,3320,3254,6712,3306,3406,2013,1004,1009,2666,1346,1320,2741,1337,1404,1895,970,925,1958,965,993,-138,14,-152
2017.03,강북구,4446,2139,2307,4146,2054,2092,1344,657,687,1994,953,1041,1540,745,795,1108,529,579,1262,652,610,300,85,215
2017.03,도봉구,3660,1791,1869,4389,2198,2191,1206,579,627,1451,718,733,1639,803,836,1003,494,509,1544,816,728,-729,-407,-322
2017.03,노원구,6719,3407,3312,6838,3438,3400,2163,1044,1119,2132,1072,1060,2132,1046,1086,2424,1291,1133,2543,1348,1195,-119,-31,-88
2017.03,은평구,6292,3088,3204,7035,3472,3563,2573,1236,1337,1964,993,971,1886,946,940,1755,859,896,2576,1290,1286,-743,-384,-359
2017.03,서대문구,5380,2584,2796,5330,2658,2672,1314,626,688,2364,1092,1272,2386,1198,1188,1702,866,836,1630,834,796,50,-74,124
2017.03,마포구,5749,2794,2955,6240,2967,3273,1453,683,770,2232,1090,1142,2825,1313,1512,2064,1021,1043,1962,971,991,-491,-173,-318
2017.03,양천구,5054,2508,2546,5922,2991,2931,1563,754,809,2046,1012,1034,2146,1071,1075,1445,742,703,2213,1166,1047,-868,-483,-385
2017.03,강서구,8242,4105,4137,7680,3858,3822,2373,1151,1222,2940,1478,1462,2092,1081,1011,2929,1476,1453,3215,1626,1589,562,247,315
2017.03,구로구,4966,2499,2467,5351,2683,2668,1180,574,606,1737,888,849,1701,848,853,2049,1037,1012,2470,1261,1209,-385,-184,-201
2017.03,금천구,3313,1714,1599,3223,1668,1555,900,435,465,1120,575,545,814,442,372,1293,704,589,1509,791,718,90,46,44
2017.03,영등포구,5349,2713,2636,6210,3164,3046,1450,716,734,1936,990,946,2618,1309,1309,1963,1007,956,2142,1139,1003,-861,-451,-410
2017.03,동작구,6086,3098,2988,6248,3123,3125,1300,627,673,2434,1206,1228,2548,1241,1307,2352,1265,1087,2400,1255,1145,-162,-25,-137
2017.03,관악구,9474,5057,4417,9428,4994,4434,2593,1337,1256,2743,1412,1331,3307,1735,1572,4138,2308,1830,3528,1922,1606,46,63,-17
2017.03,서초구,6602,3189,3413,7773,3762,4011,2001,934,1067,2616,1259,1357,3291,1590,1701,1985,996,989,2481,1238,1243,-1171,-573,-598
2017.03,강남구,8254,4082,4172,9334,4531,4803,2356,1116,1240,3061,1533,1528,3718,1785,1933,2837,1433,1404,3260,1630,1630,-1080,-449,-631
2017.03,송파구,9694,4807,4887,9930,4936,4994,3257,1583,1674,3186,1592,1594,2911,1435,1476,3251,1632,1619,3762,1918,1844,-236,-129,-107
2017.03,강동구,8193,4088,4105,7225,3691,3534,3361,1669,1692,2673,1364,1309,1333,675,658,2159,1055,1104,2531,1347,1184,968,397,571
2017.04,서울특별시,112932,55727,57205,119307,59592,59715,35605,17309,18296,43502,21479,22023,43502,21479,22023,33825,16939,16886,40200,20804,19396,-6375,-3865,-2510
2017.04,종로구,2412,1185,1227,2029,1021,1008,352,171,181,1443,688,755,998,504,494,617,326,291,679,346,333,383,164,219
2017.04,중구,1324,659,665,1568,839,729,242,133,109,647,316,331,883,480,403,435,210,225,443,226,217,-244,-180,-64
2017.04,용산구,2484,1245,1239,2943,1488,1455,524,266,258,1138,569,569,1457,710,747,822,410,412,962,512,450,-459,-243,-216
2017.04,성동구,3564,1738,1826,3459,1738,1721,780,375,405,1709,857,852,1609,795,814,1075,506,569,1070,568,502,105,-,105
2017.04,광진구,4263,2056,2207,4245,2127,2118,1268,617,651,1689,790,899,1565,770,795,1306,649,657,1412,740,672,18,-71,89
2017.04,동대문구,3542,1893,1649,3774,1938,1836,1033,525,508,1393,760,633,1537,775,762,1116,608,508,1204,638,566,-232,-45,-187
2017.04,중랑구,4605,2306,2299,4822,2409,2413,1937,952,985,1595,810,785,1284,634,650,1073,544,529,1601,823,778,-217,-103,-114
2017.04,성북구,4541,2293,2248,5089,2537,2552,1577,754,823,1792,930,862,2012,1017,995,1172,609,563,1500,766,734,-548,-244,-304
2017.04,강북구,3766,1878,1888,3772,1911,1861,1401,701,700,1637,807,830,1303,665,638,728,370,358,1068,545,523,-6,-33,27
2017.04,도봉구,3193,1597,1596,3689,1837,1852,1134,571,563,1266,628,638,1419,683,736,793,398,395,1136,583,553,-496,-240,-256
2017.04,노원구,4889,2377,2512,5445,2660,2785,1799,850,949,1740,851,889,1781,834,947,1350,676,674,1865,976,889,-556,-283,-273
2017.04,은평구,5431,2613,2818,5663,2783,2880,2290,1113,1177,1746,837,909,1471,713,758,1395,663,732,1902,957,945,-232,-170,-62
2017.04,서대문구,3977,1951,2026,4092,2029,2063,1102,534,568,1760,875,885,1883,924,959,1115,542,573,1107,571,536,-115,-78,-37
2017.04,마포구,4821,2228,2593,5060,2476,2584,1297,598,699,1951,900,1051,2243,1081,1162,1573,730,843,1520,797,723,-239,-248,9
2017.04,양천구,4107,2030,2077,4642,2299,2343,1246,606,640,1777,886,891,1862,908,954,1084,538,546,1534,785,749,-535,-269,-266
2017.04,강서구,7226,3551,3675,6780,3357,3423,2381,1153,1228,2791,1394,1397,1870,895,975,2054,1004,1050,2529,1309,1220,446,194,252
2017.04,구로구,3971,1985,1986,4519,2289,2230,1014,492,522,1378,694,684,1543,787,756,1579,799,780,1962,1010,952,-548,-304,-244
2017.04,금천구,2784,1420,1364,2772,1448,1324,855,434,421,903,448,455,731,379,352,1026,538,488,1186,635,551,12,-28,40
2017.04,영등포구,5288,2640,2648,5485,2746,2739,1489,743,746,2227,1095,1132,2186,1083,1103,1572,802,770,1810,920,890,-197,-106,-91
2017.04,동작구,4626,2272,2354,5118,2560,2558,1110,544,566,1955,930,1025,2302,1140,1162,1561,798,763,1706,876,830,-492,-288,-204
2017.04,관악구,7024,3571,3453,7434,3818,3616,2137,1073,1064,2028,1029,999,2550,1301,1249,2859,1469,1390,2747,1444,1303,-410,-247,-163
2017.04,서초구,4902,2345,2557,5550,2743,2807,1366,639,727,2010,965,1045,2455,1189,1266,1526,741,785,1729,915,814,-648,-398,-250
2017.04,강남구,6328,3098,3230,7153,3478,3675,1854,869,985,2390,1183,1207,2857,1385,1472,2084,1046,1038,2442,1224,1218,-825,-380,-445
2017.04,송파구,7826,3780,4046,8325,4128,4197,2801,1315,1486,2605,1262,1343,2406,1183,1223,2420,1203,1217,3118,1630,1488,-499,-348,-151
2017.04,강동구,6038,3016,3022,5879,2933,2946,2616,1281,1335,1932,975,957,1295,644,651,1490,760,730,1968,1008,960,159,83,76
2017.05,서울특별시,124132,61014,63118,130722,64767,65955,40853,19855,20998,47407,23122,24285,47407,23122,24285,35872,18037,17835,42462,21790,20672,-6590,-3753,-2837
2017.05,종로구,2389,1198,1191,2048,1035,1013,417,213,204,1293,626,667,1045,528,517,679,359,320,586,294,292,341,163,178
2017.05,중구,1504,746,758,1548,789,759,265,134,131,773,386,387,842,422,420,466,226,240,441,233,208,-44,-43,-1
2017.05,용산구,2873,1449,1424,3132,1534,1598,705,349,356,1252,621,631,1445,687,758,916,479,437,982,498,484,-259,-85,-174
2017.05,성동구,3901,1913,1988,3787,1919,1868,914,455,459,1908,911,997,1769,886,883,1079,547,532,1104,578,526,114,-6,120
2017.05,광진구,4586,2271,2315,4871,2381,2490,1450,709,741,1811,876,935,1867,892,975,1325,686,639,1554,780,774,-285,-110,-175
2017.05,동대문구,3793,1875,1918,4301,2176,2125,1140,554,586,1573,771,802,1783,896,887,1080,550,530,1378,726,652,-508,-301,-207
2017.05,중랑구,5059,2494,2565,5150,2556,2594,2201,1074,1127,1789,889,900,1430,706,724,1069,531,538,1519,776,743,-91,-62,-29
2017.05,성북구,4806,2321,2485,5403,2636,2767,1660,784,876,1981,950,1031,2288,1125,1163,1165,587,578,1455,727,728,-597,-315,-282
2017.05,강북구,3898,1908,1990,4106,2083,2023,1514,745,769,1621,784,837,1509,746,763,763,379,384,1083,592,491,-208,-175,-33
2017.05,도봉구,3687,1795,1892,3935,1984,1951,1301,640,661,1510,724,786,1319,657,662,876,431,445,1315,687,628,-248,-189,-59
2017.05,노원구,5177,2558,2619,6108,3006,3102,2055,994,1061,1774,881,893,1931,904,1027,1348,683,665,2122,1108,1014,-931,-448,-483
2017.05,은평구,5948,2860,3088,6598,3254,3344,2618,1256,1362,1879,890,989,1757,884,873,1451,714,737,2223,1114,1109,-650,-394,-256
2017.05,서대문구,4058,1979,2079,4348,2112,2236,1083,523,560,1816,892,924,1964,961,1003,1159,564,595,1301,628,673,-290,-133,-157
2017.05,마포구,4822,2299,2523,5150,2491,2659,1297,610,687,1997,952,1045,2331,1110,1221,1528,737,791,1522,771,751,-328,-192,-136
2017.05,양천구,4251,2082,2169,5258,2636,2622,1349,660,689,1758,839,919,2098,1020,1078,1144,583,561,1811,956,855,-1007,-554,-453
2017.05,강서구,8541,4076,4465,7469,3600,3869,2869,1364,1505,3244,1558,1686,1930,927,1003,2428,1154,1274,2670,1309,1361,1072,476,596
2017.05,구로구,4429,2222,2207,5229,2588,2641,1312,646,666,1415,718,697,1729,831,898,1702,858,844,2188,1111,1077,-800,-366,-434
2017.05,금천구,3022,1582,1440,2999,1581,1418,974,491,483,931,474,457,786,419,367,1117,617,500,1239,671,568,23,1,22
2017.05,영등포구,6902,3482,3420,6051,3056,2995,1928,972,956,3081,1545,1536,2246,1115,1131,1893,965,928,1877,969,908,851,426,425
2017.05,동작구,5168,2513,2655,5795,2844,2951,1400,651,749,2122,1024,1098,2650,1294,1356,1646,838,808,1745,899,846,-627,-331,-296
2017.05,관악구,7905,4083,3822,8236,4348,3888,2548,1314,1234,2382,1191,1191,2876,1475,1401,2975,1578,1397,2812,1559,1253,-331,-265,-66
2017.05,서초구,5428,2586,2842,6447,3066,3381,1749,838,911,2155,1021,1134,2854,1309,1545,1524,727,797,1844,919,925,-1019,-480,-539
2017.05,강남구,7028,3437,3591,7986,3818,4168,2179,1034,1145,2560,1294,1266,3095,1465,1630,2289,1109,1180,2712,1319,1393,-958,-381,-577
2017.05,송파구,8658,4145,4513,8493,4153,4340,3148,1500,1648,2889,1352,1537,2429,1187,1242,2621,1293,1328,2916,1466,1450,165,-8,173
2017.05,강동구,6299,3140,3159,6274,3121,3153,2777,1345,1432,1893,953,940,1434,676,758,1629,842,787,2063,1100,963,25,19,6
2017.06,서울특별시,115236,56963,58273,121281,60529,60752,37233,18053,19180,43703,21537,22166,43703,21537,22166,34300,17373,16927,40345,20939,19406,-6045,-3566,-2479
2017.06,종로구,2214,1117,1097,2079,1062,1017,359,189,170,1219,606,613,1114,543,571,636,322,314,606,330,276,135,55,80
2017.06,중구,1533,762,771,1630,843,787,303,143,160,725,371,354,871,455,416,505,248,257,456,245,211,-97,-81,-16
2017.06,용산구,2877,1449,1428,2848,1424,1424,676,329,347,1294,647,647,1263,631,632,907,473,434,909,464,445,29,25,4
2017.06,성동구,3654,1756,1898,3504,1754,1750,870,405,465,1818,850,968,1614,805,809,966,501,465,1020,544,476,150,2,148
2017.06,광진구,4445,2137,2308,4410,2165,2245,1328,608,720,1764,856,908,1610,813,797,1353,673,680,1472,744,728,35,-28,63
2017.06,동대문구,3766,1943,1823,4105,2100,2005,1220,609,611,1507,773,734,1612,807,805,1039,561,478,1273,684,589,-339,-157,-182
2017.06,중랑구,5568,2744,2824,5112,2560,2552,2331,1144,1187,2109,1050,1059,1325,656,669,1128,550,578,1456,760,696,456,184,272
2017.06,성북구,4415,2159,2256,5094,2516,2578,1476,717,759,1772,852,920,2132,1030,1102,1167,590,577,1486,769,717,-679,-357,-322
2017.06,강북구,3649,1805,1844,3616,1799,1817,1252,627,625,1562,771,791,1371,656,715,835,407,428,993,516,477,33,6,27
2017.06,도봉구,3503,1741,1762,3543,1775,1768,1130,550,580,1472,735,737,1254,598,656,901,456,445,1159,627,532,-40,-34,-6
2017.06,노원구,4837,2328,2509,6359,3122,3237,2014,935,1079,1531,748,783,2290,1099,1191,1292,645,647,2055,1088,967,-1522,-794,-728
2017.06,은평구,5345,2634,2711,6103,3006,3097,2313,1112,1201,1643,822,821,1593,768,825,1389,700,689,2197,1126,1071,-758,-372,-386
2017.06,서대문구,3849,1905,1944,3705,1862,1843,854,421,433,1825,889,936,1667,825,842,1170,595,575,1184,616,568,144,43,101
2017.06,마포구,4474,2113,2361,4958,2394,2564,1213,545,668,1833,856,977,2245,1127,1118,1428,712,716,1500,722,778,-484,-281,-203
2017.06,양천구,4218,2043,2175,4768,2419,2349,1304,647,657,1687,798,889,1842,899,943,1227,598,629,1622,873,749,-550,-376,-174
2017.06,강서구,7998,3923,4075,7145,3499,3646,2837,1367,1470,2776,1372,1404,1787,850,937,2385,1184,1201,2521,1282,1239,853,424,429
2017.06,구로구,3994,2001,1993,4530,2298,2232,1167,577,590,1254,646,608,1434,711,723,1573,778,795,1929,1010,919,-536,-297,-239
2017.06,금천구,2628,1370,1258,2732,1414,1318,835,422,413,811,439,372,687,375,312,982,509,473,1210,617,593,-104,-44,-60
2017.06,영등포구,4851,2488,2363,4810,2439,2371,1235,618,617,2030,1047,983,1977,977,1000,1586,823,763,1598,844,754,41,49,-8
2017.06,동작구,4664,2281,2383,4995,2507,2488,1202,551,651,1978,959,1019,2114,1053,1061,1484,771,713,1679,903,776,-331,-226,-105
2017.06,관악구,6898,3639,3259,7254,3774,3480,2163,1105,1058,2096,1085,1011,2374,1200,1174,2639,1449,1190,2717,1469,1248,-356,-135,-221
2017.06,서초구,5164,2442,2722,6185,2999,3186,1712,803,909,1941,890,1051,2657,1284,1373,1511,749,762,1816,912,904,-1021,-557,-464
2017.06,강남구,6743,3285,3458,7551,3698,3853,1982,948,1034,2524,1265,1259,3006,1447,1559,2237,1072,1165,2563,1303,1260,-808,-413,-395
2017.06,송파구,7968,3922,4046,7721,3780,3941,2612,1261,1351,2819,1373,1446,2317,1134,1183,2537,1288,1249,2792,1385,1407,247,142,105
2017.06,강동구,5981,2976,3005,6524,3320,3204,2845,1420,1425,1713,837,876,1547,794,753,1423,719,704,2132,1106,1026,-543,-344,-199
2017.07,서울특별시,113098,56213,56885,121341,60668,60673,36411,17785,18626,43168,21295,21873,43168,21295,21873,33519,17133,16386,41762,21588,20174,-8243,-4455,-3788
2017.07,종로구,2306,1138,1168,1919,973,946,353,169,184,1314,626,688,947,486,461,639,343,296,619,318,301,387,165,222
2017.07,중구,1391,706,685,1448,727,721,253,124,129,718,363,355,785,397,388,420,219,201,410,206,204,-57,-21,-36
2017.07,용산구,2645,1298,1347,2790,1384,1406,534,254,280,1288,633,655,1320,652,668,823,411,412,936,478,458,-145,-86,-59
2017.07,성동구,3649,1839,1810,3569,1814,1755,811,409,402,1835,923,912,1558,784,774,1003,507,496,1200,621,579,80,25,55
2017.07,광진구,4282,2109,2173,4184,2104,2080,1315,641,674,1709,834,875,1457,722,735,1258,634,624,1412,741,671,98,5,93
2017.07,동대문구,3574,1849,1725,3961,2063,1898,1068,535,533,1480,757,723,1623,834,789,1026,557,469,1270,694,576,-387,-214,-173
2017.07,중랑구,4677,2351,2326,4454,2253,2201,1830,910,920,1794,907,887,1184,600,584,1053,534,519,1440,743,697,223,98,125
2017.07,성북구,4078,2027,2051,4562,2260,2302,1257,637,620,1786,892,894,1932,937,995,1035,498,537,1373,686,687,-484,-233,-251
2017.07,강북구,3278,1590,1688,3652,1795,1857,1188,551,637,1360,659,701,1376,676,700,730,380,350,1088,568,520,-374,-205,-169
2017.07,도봉구,3538,1793,1745,3694,1907,1787,1118,582,536,1517,751,766,1377,686,691,903,460,443,1199,639,560,-156,-114,-42
2017.07,노원구,4952,2467,2485,6434,3204,3230,1993,956,1037,1612,791,821,2164,1045,1119,1347,720,627,2277,1203,1074,-1482,-737,-745
2017.07,은평구,5379,2617,2762,6131,3038,3093,2417,1177,1240,1595,757,838,1505,744,761,1367,683,684,2209,1117,1092,-752,-421,-331
2017.07,서대문구,3581,1735,1846,3713,1842,1871,823,374,449,1683,818,865,1707,844,863,1075,543,532,1183,624,559,-132,-107,-25
2017.07,마포구,4363,2075,2288,4711,2275,2436,1066,490,576,1874,915,959,2046,967,1079,1423,670,753,1599,818,781,-348,-200,-148
2017.07,양천구,4159,2075,2084,4561,2225,2336,1260,612,648,1687,827,860,1695,813,882,1212,636,576,1606,800,806,-402,-150,-252
2017.07,강서구,7279,3544,3735,6962,3398,3564,2468,1157,1311,2508,1228,1280,1798,873,925,2303,1159,1144,2696,1368,1328,317,146,171
2017.07,구로구,3829,1905,1924,4353,2215,2138,1062,529,533,1267,630,637,1360,681,679,1500,746,754,1931,1005,926,-524,-310,-214
2017.07,금천구,2458,1301,1157,2732,1473,1259,827,440,387,729,381,348,701,357,344,902,480,422,1204,676,528,-274,-172,-102
2017.07,영등포구,4830,2466,2364,5122,2593,2529,1310,665,645,1956,982,974,2023,986,1037,1564,819,745,1789,942,847,-292,-127,-165
2017.07,동작구,4639,2314,2325,4903,2425,2478,1099,535,564,2014,981,1033,2064,986,1078,1526,798,728,1740,904,836,-264,-111,-153
2017.07,관악구,6875,3611,3264,7354,3889,3465,2141,1120,1021,2016,1043,973,2396,1254,1142,2718,1448,1270,2817,1515,1302,-479,-278,-201
2017.07,서초구,5958,2832,3126,6666,3234,3432,1996,936,1060,2317,1086,1231,2663,1274,1389,1645,810,835,2007,1024,983,-708,-402,-306
2017.07,강남구,7238,3517,3721,7825,3778,4047,2259,1075,1184,2584,1261,1323,3022,1458,1564,2395,1181,1214,2544,1245,1299,-587,-261,-326
2017.07,송파구,7936,3938,3998,7811,3833,3978,2579,1232,1347,3038,1501,1537,2349,1147,1202,2319,1205,1114,2883,1454,1429,125,105,20
2017.07,강동구,6204,3116,3088,7830,3966,3864,3384,1675,1709,1487,749,738,2116,1092,1024,1333,692,641,2330,1199,1131,-1626,-850,-776
2017.08,서울특별시,115236,56963,58273,121281,60529,60752,37233,18053,19180,43703,21537,22166,43703,21537,22166,34300,17373,16927,40345,20939,19406,-6045,-3566,-2479
2017.08,종로구,2214,1117,1097,2079,1062,1017,359,189,170,1219,606,613,1114,543,571,636,322,314,606,330,276,135,55,80
2017.08,중구,1533,762,771,1630,843,787,303,143,160,725,371,354,871,455,416,505,248,257,456,245,211,-97,-81,-16
2017.08,용산구,2877,1449,1428,2848,1424,1424,676,329,347,1294,647,647,1263,631,632,907,473,434,909,464,445,29,25,4
2017.08,성동구,3654,1756,1898,3504,1754,1750,870,405,465,1818,850,968,1614,805,809,966,501,465,1020,544,476,150,2,148
2017.08,광진구,4445,2137,2308,4410,2165,2245,1328,608,720,1764,856,908,1610,813,797,1353,673,680,1472,744,728,35,-28,63
2017.08,동대문구,3766,1943,1823,4105,2100,2005,1220,609,611,1507,773,734,1612,807,805,1039,561,478,1273,684,589,-339,-157,-182
2017.08,중랑구,5568,2744,2824,5112,2560,2552,2331,1144,1187,2109,1050,1059,1325,656,669,1128,550,578,1456,760,696,456,184,272
2017.08,성북구,4415,2159,2256,5094,2516,2578,1476,717,759,1772,852,920,2132,1030,1102,1167,590,577,1486,769,717,-679,-357,-322
2017.08,강북구,3649,1805,1844,3616,1799,1817,1252,627,625,1562,771,791,1371,656,715,835,407,428,993,516,477,33,6,27
2017.08,도봉구,3503,1741,1762,3543,1775,1768,1130,550,580,1472,735,737,1254,598,656,901,456,445,1159,627,532,-40,-34,-6
2017.08,노원구,4837,2328,2509,6359,3122,3237,2014,935,1079,1531,748,783,2290,1099,1191,1292,645,647,2055,1088,967,-1522,-794,-728
2017.08,은평구,5345,2634,2711,6103,3006,3097,2313,1112,1201,1643,822,821,1593,768,825,1389,700,689,2197,1126,1071,-758,-372,-386
2017.08,서대문구,3849,1905,1944,3705,1862,1843,854,421,433,1825,889,936,1667,825,842,1170,595,575,1184,616,568,144,43,101
2017.08,마포구,4474,2113,2361,4958,2394,2564,1213,545,668,1833,856,977,2245,1127,1118,1428,712,716,1500,722,778,-484,-281,-203
