기간,자치구,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),구간이동,구간이동,구간이동,구간이동,구간이동,구간이동,전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),전입(②),전입(②),전입(②),전출(③),전출(③),전출(③),전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,소계,남자,여자,소계,남자,여자,소계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2016.03,서초구,6098,2945,3153,6691,3215,3476,1612,739,873,2570,1224,1346,2635,1252,1383,1916,982,934,2444,1224,1220,-593,-270,-323
2016.03,강남구,8360,4088,4272,10605,5218,5387,2757,1294,1463,2746,1359,1387,3781,1869,1912,2857,1435,1422,4067,2055,2012,-2245,-1130,-1115
2016.03,송파구,8715,4372,4343,10291,5148,5143,3186,1530,1656,2914,1493,1421,2536,1272,1264,2615,1349,1266,4569,2346,2223,-1576,-776,-800
2016.03,강동구,5927,2996,2931,7487,3802,3685,2795,1387,1408,1545,810,735,1670,865,805,1587,799,788,3022,1550,1472,-1560,-806,-754
2016.04,서울특별시,117029,57911,59118,127687,63506,64181,39716,19184,20532,43565,21396,22169,43565,21396,22169,33748,17331,16417,44406,22926,21480,-10658,-5595,-5063
2016.04,종로구,1769,906,863,2033,1044,989,337,165,172,840,420,420,1131,563,568,592,321,271,565,316,249,-264,-138,-126
2016.04,중구,1646,845,801,1685,847,838,335,173,162,817,408,409,886,433,453,494,264,230,464,241,223,-39,-2,-37
2016.04,용산구,2691,1327,1364,2950,1440,1510,684,305,379,1145,584,561,1273,627,646,862,438,424,993,508,485,-259,-113,-146
2016.04,성동구,3374,1704,1670,3457,1742,1715,796,384,412,1630,813,817,1561,778,783,948,507,441,1100,580,520,-83,-38,-45
2016.04,광진구,4659,2280,2379,4997,2457,2540,1573,756,817,1755,841,914,1708,826,882,1331,683,648,1716,875,841,-338,-177,-161
2016.04,동대문구,3839,1959,1880,4288,2174,2114,1156,558,598,1555,791,764,1639,815,824,1128,610,518,1493,801,692,-449,-215,-234
2016.04,중랑구,5061,2493,2568,5156,2574,2582,2195,1094,1101,1698,839,859,1385,667,718,1168,560,608,1576,813,763,-95,-81,-14
2016.04,성북구,4500,2195,2305,5079,2532,2547,1462,698,764,1847,898,949,2046,1025,1021,1191,599,592,1571,809,762,-579,-337,-242
2016.04,강북구,3707,1858,1849,3935,2007,1928,1466,747,719,1487,729,758,1412,696,716,754,382,372,1057,564,493,-228,-149,-79
2016.04,도봉구,3491,1761,1730,3749,1871,1878,1246,627,619,1396,701,695,1274,605,669,849,433,416,1229,639,590,-258,-110,-148
2016.04,노원구,6049,2899,3150,6202,3065,3137,2342,1107,1235,2268,1077,1191,1803,880,923,1439,715,724,2057,1078,979,-153,-166,13
2016.04,은평구,6523,3139,3384,7234,3545,3689,3181,1495,1686,1971,956,1015,1704,855,849,1371,688,683,2349,1195,1154,-711,-406,-305
2016.04,서대문구,4724,2334,2390,4300,2095,2205,1332,615,717,2175,1078,1097,1584,763,821,1217,641,576,1384,717,667,424,239,185
2016.04,마포구,5298,2559,2739,6276,3130,3146,1818,881,937,1871,880,991,2663,1326,1337,1609,798,811,1795,923,872,-978,-571,-407
2016.04,양천구,4374,2172,2202,5175,2570,2605,1609,768,841,1722,849,873,1820,895,925,1043,555,488,1746,907,839,-801,-398,-403
2016.04,강서구,6686,3228,3458,6643,3305,3338,2217,1065,1152,2533,1213,1320,1960,970,990,1936,950,986,2466,1270,1196,43,-77,120
2016.04,구로구,4176,2114,2062,4767,2431,2336,1249,648,601,1443,735,708,1426,706,720,1484,731,753,2092,1077,1015,-591,-317,-274
2016.04,금천구,2746,1398,1348,2872,1470,1402,1007,489,518,771,395,376,700,352,348,968,514,454,1165,629,536,-126,-72,-54
2016.04,영등포구,4756,2383,2373,5123,2554,2569,1287,627,660,1844,908,936,2055,1014,1041,1625,848,777,1781,913,868,-367,-171,-196
2016.04,동작구,5004,2484,2520,4980,2429,2551,1217,571,646,2176,1055,1121,1978,959,1019,1611,858,753,1785,899,886,24,55,-31
2016.04,관악구,7369,3856,3513,7716,3969,3747,2218,1107,1111,2209,1162,1047,2504,1240,1264,2942,1587,1355,2994,1622,1372,-347,-113,-234
2016.04,서초구,4928,2378,2550,5483,2632,2851,1250,594,656,2152,1015,1137,2339,1092,1247,1526,769,757,1894,946,948,-555,-254,-301
2016.04,강남구,6944,3331,3613,8535,4090,4445,2393,1115,1278,2321,1121,1200,3114,1499,1615,2230,1095,1135,3028,1476,1552,-1591,-759,-832
2016.04,송파구,7463,3717,3746,8420,4174,4246,2784,1349,1435,2533,1254,1279,2115,1026,1089,2146,1114,1032,3521,1799,1722,-957,-457,-500
2016.04,강동구,5252,2591,2661,6632,3359,3273,2562,1246,1316,1406,674,732,1485,784,701,1284,671,613,2585,1329,1256,-1380,-768,-612
2016.05,서울특별시,123743,61140,62603,135701,67507,68194,43795,21197,22598,46114,22715,23399,46114,22715,23399,33834,17228,16606,45792,23595,22197,-11958,-6367,-5591
2016.05,종로구,1761,887,874,2099,1071,1028,349,165,184,853,425,428,1114,554,560,559,297,262,636,352,284,-338,-184,-154
2016.05,중구,1526,760,766,1783,934,849,338,166,172,773,379,394,949,504,445,415,215,200,496,264,232,-257,-174,-83
2016.05,용산구,2790,1409,1381,3108,1540,1568,748,363,385,1182,594,588,1389,673,716,860,452,408,971,504,467,-318,-131,-187
2016.05,성동구,4204,2078,2126,3747,1880,1867,1025,486,539,2163,1068,1095,1517,748,769,1016,524,492,1205,646,559,457,198,259
2016.05,광진구,4532,2255,2277,5154,2556,2598,1605,781,824,1695,852,843,1831,910,921,1232,622,610,1718,865,853,-622,-301,-321
2016.05,동대문구,3896,1990,1906,4543,2344,2199,1247,608,639,1553,797,756,1869,984,885,1096,585,511,1427,752,675,-647,-354,-293
2016.05,중랑구,5222,2604,2618,5368,2684,2684,2359,1158,1201,1792,885,907,1429,690,739,1071,561,510,1580,836,744,-146,-80,-66
2016.05,성북구,4666,2297,2369,5485,2747,2738,1614,791,823,1912,941,971,2226,1105,1121,1140,565,575,1645,851,794,-819,-450,-369
2016.05,강북구,3760,1870,1890,4227,2087,2140,1467,706,761,1519,749,770,1601,784,817,774,415,359,1159,597,562,-467,-217,-250
2016.05,도봉구,4017,1958,2059,4078,1997,2081,1482,699,783,1716,839,877,1328,633,695,819,420,399,1268,665,603,-61,-39,-22
2016.05,노원구,5687,2774,2913,6028,2903,3125,2196,1036,1160,2053,1024,1029,1826,851,975,1438,714,724,2006,1016,990,-341,-129,-212
2016.05,은평구,7179,3492,3687,7751,3774,3977,3520,1690,1830,2190,1078,1112,1799,868,931,1469,724,745,2432,1216,1216,-572,-282,-290
2016.05,서대문구,5052,2423,2629,5218,2587,2631,1825,874,951,2068,976,1092,2009,989,1020,1159,573,586,1384,724,660,-166,-164,-2
2016.05,마포구,5175,2528,2647,6001,2912,3089,1681,820,861,2013,949,1064,2542,1219,1323,1481,759,722,1778,873,905,-826,-384,-442
