관악08,120900007,7,305,1384
4211,100100604,12,185,1380
405,100100597,15,240,1320
6514,100100294,11,240,1320
1213,100100175,13,240,1380
301,100100051,5,240,1320
5618,100100275,9,180,1320
서초02,121900008,15,360,1380
7734,111000010,18,240,1380
종로03,100900010,7,360,1380
도봉03,109900007,7,300,8
750A,100100114,10,240,1380
4432,100100246,9,240,1380
구로06,116900012,6,300,1380
은평07,111900006,7,360,1385
마포10,113900008,6,300,1385
5712,100100286,9,240,1320
7720,100100352,10,240,1380
강북04,108900005,10,300,1380
성동01,103900003,8,360,0
6627,100100304,15,240,1380
구로10,116900003,10,300,5
107,100100012,10,240,1380
성북01,107900008,4,300,1385
604,100100089,12,240,1380
505,100100080,10,240,1320
4412,100100500,8,240,1320
605,100100090,10,240,1320
서초11,121900006,10,360,1320
3220,100100218,14,240,1325
1020,100100131,6,240,1380
270,100100046,9,240,1320
강남10,122900009,10,360,1380
성동10,103900008,10,305,1380
461,100100071,11,240,1320
5012,100100248,11,240,1320
771,100100437,35,240,1380
관악02,120900008,6,360,3
서대문11,112900006,5,300,0
동작08,119900009,7,300,1380
동작15,119900010,12,300,5
774,111000012,10,185,1380
성북02,107900003,12,360,0
104,100100009,7,185,1380
340,100100055,5,240,1380
양천03,114900003,7,300,1380
광진03,104900002,7,305,1385
6511,100100291,14,240,1380
영등포08,118900007,10,360,1385
1143,100100158,13,300,1380
성북04,107900005,7,300,0
마포15,113900014,6,360,1382
240,100100407,13,240,1380
752,100100117,12,245,1320
동작14,119900012,11,300,1380
마포18,113900016,8,360,1380
700,100100440,16,240,0
5630,100100284,14,245,1380
150,100100029,5,240,1320
강북09,108900004,8,240,0
6714,100100331,15,240,1380
도봉07,109900002,6,305,1380
도봉08,109900006,13,300,0
2413,100100210,13,240,1380
마포16,113900009,6,305,1380
201,100100038,15,240,0
강북01,108900006,9,300,1385
5616,100100273,15,240,1320
501,100100077,7,240,1320
금천03,117900003,5,300,0
5516,100100253,8,300,1380
3413,100100225,7,240,1380
6716,100100451,8,240,1320
구로08,116900015,12,300,1380
종로11,100900007,9,360,1380
471,100100074,5,240,1320
성북03,107900002,10,305,0
3417,100100229,6,240,1380
130,100100018,5,240,1320
5523,100100259,7,240,1380
성동13,103900010,15,360,1380
N13,100100593,27,0,180
금천01,117900008,3,300,1380
140,100100019,4,240,1320
강서05-1,115900008,25,300,1380
751,100100116,6,240,1320
성북05,107900011,20,780,1380
양천02,114900002,9,300,1380
종로07,100900004,25,300,1320
성북07,107900013,12,300,1380
노원09,110900006,8,300,1380
