구이름,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
은평구,1745,15669,1,3,0,0,0,0,266,7,27445,1753,51741,13095,140714,28253,163449,38542,98591,41047,70878,38684,66536,38207,72097,43628,68988,49698,61382,53093,61901,62123,70649,77619,66755,92194,61174,133167,44116,134361,33806,87444,31013,79732,27237,76182,13553,52364
은평구,629,5432,0,1,0,0,0,0,23,2,10024,1244,20875,7414,56863,11316,66542,32994,40270,40774,30533,35010,29222,29808,30653,31449,33139,34929,32522,34480,33428,35953,36859,41363,36490,45678,37246,61766,22919,57307,17677,35696,15942,32113,11924,29714,5105,19274
은평구,171,3016,0,0,0,0,0,0,64,4,7467,1186,17313,8722,49712,7241,55024,15502,34075,12351,22792,9463,20292,9175,20749,10561,19173,12359,17670,13137,16187,15765,17782,20544,20064,24429,19443,34872,9840,36548,6837,24111,6050,22007,4373,20394,1821,13594
서대문구,405,4440,0,1,2,2,0,0,45,5,9794,1502,22128,8813,60619,13607,72848,29777,48472,25577,36399,21545,33854,20292,35238,23389,33851,24960,30978,27166,30645,31458,32767,37274,33907,42965,33973,56739,18480,54037,14566,35682,12143,32207,9868,32007,4155,20284
서대문구,84,1300,0,1,0,0,0,0,21,0,2067,181,4863,1807,14641,2962,17982,5309,11101,3977,8359,3808,7238,3907,6980,4239,6753,4874,5857,5759,5451,6861,5544,8524,6176,10191,6339,13332,3501,12960,2490,8847,2114,8557,1591,7928,696,5545
서대문구,195,3458,6,772,0,0,0,0,161,4,5076,595,6364,5245,16310,15398,21316,18956,15438,19197,13455,19596,14788,15299,16931,14442,17467,16483,18152,16710,19618,15665,22533,15208,19605,16553,17939,17627,9127,15934,6432,10561,5150,9623,4001,9227,1334,6306
종로구,959,1073,0,0,0,0,0,0,16,0,1769,1977,3238,17740,6796,89772,10467,104441,11786,84214,14278,75477,23484,76921,34793,70780,44454,66897,55707,64636,68416,51471,85249,41631,99517,35048,135705,31038,66350,17448,46667,8780,45279,6974,28101,6620,8807,3807
종로구,682,846,0,4,0,0,0,0,15,0,652,694,1137,4062,1602,10513,2937,40505,4038,41264,5864,30433,8065,24825,9137,24279,11478,24675,13094,24623,17132,21873,17800,18619,22840,17882,36711,19102,33144,12924,16415,6344,17416,4789,11615,3981,5082,2859
중구,854,449,1,6,0,0,0,0,12,0,598,841,1112,6466,2058,25769,3831,64919,6816,34143,9039,17634,9963,15239,10537,13196,12707,14269,14586,12844,15848,12360,16860,11900,24651,12100,49808,12309,29143,7688,16673,3976,14670,3463,10756,2924,5467,2115
중구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,1,0,1,0,2,0,3,0,5,0,5,0,4,0,3,0,3,0,3,0,1,0,0,0,1,0
중구,702,1100,0,74,0,0,0,0,21,3,1413,1209,3073,9670,5769,16725,8508,69513,7368,36517,8298,38116,11144,33786,15995,27767,19677,27485,20652,24359,23084,17818,27574,17596,37586,19749,52496,21879,27737,12768,21341,6900,30364,6464,18109,5350,6820,3628
중구,846,4974,2,561,0,0,0,0,125,3,6334,1210,10964,5844,27232,15409,40720,34050,28714,21201,21593,16376,20911,15290,22186,15600,23301,17496,21442,18666,20847,19993,22673,24723,25455,28820,32529,38871,21764,31486,16155,20979,15203,19528,11635,19452,5654,12969
성동구,248,2211,0,0,0,0,0,0,58,3,4465,667,9856,3180,26554,4964,36902,7937,25422,6974,16818,6945,15222,7261,13946,8341,13678,10307,12094,10714,11311,13408,11460,16160,12442,19874,12094,27489,8064,23697,6051,16536,5096,15107,3605,15409,1752,9158
동대문구,199,1862,0,1,0,0,0,0,338,2,4753,2316,8686,9075,22435,18216,30733,44602,25336,37869,28310,43402,37216,54565,44217,57860,49484,59571,55563,54278,61773,47640,59869,37176,49141,29245,42724,26392,22220,21311,12675,13360,10729,12204,7711,11192,3311,8364
종로구,247,3445,1,195,0,0,0,0,92,2,3440,974,3681,3659,7108,10268,9099,26077,9679,19077,11186,22305,16175,31768,22844,35483,29791,39852,34537,39216,40438,34344,41692,24770,39083,18516,31816,12087,13485,8845,7779,6391,6515,6546,4594,7116,2282,4824
중구,1676,1461,1,56,0,0,0,0,56,1,1330,1713,2521,17318,5162,66838,7978,166482,11463,71286,16036,31686,22183,29966,23223,29467,28633,33463,33472,31280,40504,27296,45811,24763,67924,23855,138663,24669,68644,15108,46475,8356,44310,7356,29561,6393,12383,4638
중구,4059,5731,2,944,0,1,0,0,101,4,3259,2848,3178,24548,7777,108651,14344,274086,20385,138426,27597,79607,36552,86450,42444,70988,56433,74167,67099,66572,78838,64147,90484,62031,118128,64824,247571,70114,146853,45843,137793,25450,115739,21069,80380,17662,38506,10862
중구,2011,1242,1,57,0,0,0,0,4,0,1024,1455,2431,14516,4851,54922,9796,127609,14119,68207,17564,33462,20488,26592,21878,22979,25313,26612,28556,24116,31356,21071,36212,20634,52791,21789,103903,22770,58871,14766,36201,8921,33971,7967,25165,7446,12526,5504
중구,747,747,0,8,0,0,0,0,6,0,843,851,1514,8406,3146,19771,5861,63422,9297,37422,11882,23816,14708,22612,17480,21048,19063,20123,23238,20123,25548,17701,28394,16221,36263,13261,59007,11907,34254,7773,15976,4957,12383,4643,8456,4514,4014,3396
중구,2548,4118,1,17,0,0,0,0,299,5,8759,940,5884,9507,8299,22028,12632,51715,14817,38832,17630,37134,20727,35748,24471,38471,28613,43839,33120,41585,40206,37615,47555,35768,51306,37939,58914,43730,46332,49337,34943,33816,33468,26703,30685,20346,20981,15056
중구,808,3762,0,0,0,0,0,0,66,3,6405,1492,11778,9070,26069,16856,39067,38648,25506,25237,20437,20681,21180,21343,23292,22729,25913,25757,25318,25449,26317,26250,29783,27866,33003,33361,37832,40618,24509,34266,18221,21862,16376,20468,12772,19907,6530,13743
성동구,444,3968,3,3,0,1,0,0,18,2,5757,765,13134,5085,34759,10007,51546,32124,30297,18189,21181,12970,20169,11705,20362,13127,20427,15062,18678,15624,17710,17923,18441,20859,21663,26341,26202,37618,18232,32228,11839,22587,10407,21494,8240,22375,3686,14225
성동구,1938,1176,1,1,1,1,0,0,19,0,1610,511,2593,5515,5740,16323,8005,60603,7138,58525,7918,49863,11521,23018,15655,31633,17095,25583,20752,21133,27650,15711,36674,13229,43435,15448,36801,20206,20899,11784,18937,7158,24452,6401,19132,6176,10748,4601
성동구,913,3246,1,52,1,1,0,0,22,1,4241,1710,8702,13061,23428,25594,30171,91654,21896,44479,16783,21912,17673,18877,19335,21390,22241,21792,21255,20489,23772,22893,28539,24425,34475,27110,77655,36719,40771,27779,22725,17578,23417,16400,16354,16203,6701,10928
성동구,1676,8643,5,994,0,1,0,0,42,0,5570,3810,10353,26518,24412,57452,31394,202380,25565,71626,22692,32289,23627,26885,25618,26589,29223,29600,31194,30149,34425,31031,40161,31788,54840,36137,140852,43431,77453,33560,40929,20918,38071,18077,28384,16873,12239,13757
광진구,7317,13592,2,738,0,0,0,0,386,8,20062,2043,25896,16445,59233,26054,99376,66496,69631,52369,45274,51049,45756,54848,54778,69054,61589,74508,62200,76093,67460,80229,74613,92863,86602,120613,98516,173021,81463,145823,81248,88841,90565,77498,92488,71496,55540,45249
송파구,476,4017,2,4,1,0,0,0,11,1,3173,1707,13706,9156,48250,20322,55522,38090,35096,27714,27957,21140,27849,19440,27788,22854,25938,24439,25779,23852,26923,24458,30728,25923,32926,29353,35599,43057,20288,38885,16701,25373,12468,23953,8608,24022,3607,15508
송파구,3705,12027,0,26,0,0,0,0,77,3,14211,5424,47081,43696,119747,86850,177718,181091,129065,190218,93589,119252,96397,133923,106793,129548,121961,140058,126350,137439,143889,150759,163176,158153,194306,167435,258779,222237,208897,174327,193280,108581,195595,100837,149864,99219,45214,61802
마포구,165,412,0,0,0,0,0,0,4,1,479,62,1179,706,1567,2145,1871,4882,1488,4925,1464,4511,1342,4391,1518,5315,1961,5926,2402,5782,3155,5413,3361,5536,4586,6190,5409,7261,4530,5236,4449,3872,5296,3029,6284,2529,3260,1845
강남구,350,1448,1,88,0,0,0,0,33,1,1500,565,5838,7063,15819,16815,19277,55673,13596,28012,11953,13239,12121,11515,11991,11246,13580,11009,14652,11505,15353,11126,16695,12269,24086,14285,46175,18558,22079,15506,13411,9804,14971,8543,10164,8730,3381,5317
강남구,214,2488,2,385,0,0,0,0,36,3,1313,289,3988,4270,11433,10720,14979,20890,10417,16933,8381,7989,8247,7707,8978,7969,9663,8280,9393,7956,10510,8192,13478,9015,15643,9992,19145,12161,11094,10740,7133,7176,7067,6834,5545,7147,1812,4627
강남구,501,2522,0,0,0,0,0,0,14,0,2284,805,11438,7146,26387,16407,27540,25405,19146,18937,14625,14157,14900,12317,18316,16643,18832,20232,15934,17171,16878,18577,20095,25300,27849,30758,26881,29376,19376,24626,14214,14437,19824,13802,32713,14694,4156,9204
강남구,49,513,0,0,0,0,0,0,4,0,551,214,1355,1627,4007,2920,4818,7372,3510,4874,2845,3884,3107,3506,3383,3361,3578,4198,3832,3879,4453,3741,5010,3521,5857,3652,7115,4360,2982,3899,2003,2647,2039,2405,1434,2394,441,1544
강남구,239,2750,0,0,1,0,0,0,42,2,3146,1361,8919,7385,25663,14554,30075,21536,18165,10527,14052,7411,13662,8251,13502,8258,14753,10265,12953,10866,14296,13465,21538,15174,20781,17256,25227,21976,12133,20994,9007,14857,8535,13418,6409,15323,2313,9493
강남구,97,1614,2,14,0,0,0,0,2,0,1899,1131,6714,6594,19876,21085,20833,19759,14838,16858,14961,15893,15830,12798,16125,12855,14941,14247,15103,13556,17409,12550,21749,12158,21524,13904,14607,16740,8915,15932,6682,10598,4322,9907,3044,11107,972,5803
강남구,653,4370,0,237,0,0,0,0,78,3,4653,1609,11687,13675,34385,28346,41347,46122,30454,28682,30887,21477,24256,16929,29296,21007,28964,21326,23713,22768,28513,24775,34240,30591,36712,32703,46573,39988,24982,36604,21696,26530,16149,21353,15638,22717,7895,11038
송파구,382,2340,0,28,0,0,0,0,8,0,2778,620,7388,4777,21524,9879,25196,27296,19255,13826,16612,10490,15869,11580,16295,12442,16446,13633,15587,14374,16065,16201,16721,17643,18504,20851,26481,25780,14622,22414,10971,14781,10035,13231,7455,12809,2987,8677
송파구,133,1645,0,0,0,0,0,0,12,1,2522,162,6567,2675,21229,6566,24882,27179,15522,13633,12184,7731,11137,6404,10203,7257,10210,9250,10391,9140,10050,9310,9930,10445,12695,13046,19437,18355,8048,18083,6051,11366,5550,10080,3774,10037,1455,6804
송파구,95,2381,0,0,0,0,0,0,9,2,3294,18,7561,2101,24432,5811,29500,13576,16452,7057,10849,6200,9779,4731,9993,6051,9889,6890,8150,6679,8288,8770,8936,10226,10342,12669,13194,17753,6490,16826,4595,11632,4185,11502,3167,12235,1209,8294
노원구,301,5674,0,452,0,0,0,0,54,1,9010,38,17098,7226,47517,10664,49661,15455,34074,14090,24869,14389,22161,13197,22757,14426,22662,15470,20138,15910,18672,19659,19545,23793,20954,27699,19108,35511,14018,35322,8651,27521,7316,24423,5592,23909,2398,18637
노원구,546,8187,3,794,0,0,0,0,62,4,14064,201,36079,7752,90975,17361,85275,20601,51475,18100,38459,16428,33946,16279,34987,19477,33830,21939,27063,23258,26463,27633,29421,34970,27845,44565,27139,60011,18333,64193,13309,44226,12715,39079,12277,38354,4581,29837
노원구,1848,9173,0,312,0,0,0,0,181,14,12168,634,25780,9356,54512,16856,60787,32574,38935,35766,33616,27322,32830,26523,35202,30454,35044,34677,33702,37626,34299,41323,38970,46080,39767,61133,41234,81283,30977,77727,32535,51839,29736,44592,30397,40695,14377,31102
도봉구,1551,13026,2,10,0,1,0,0,1948,61,17122,3008,39141,11909,100573,20651,88986,41627,62417,36577,49770,30711,47674,30407,48787,35180,46683,40866,42706,44932,43179,51264,46374,59849,48916,71154,51539,95316,31461,95404,24523,65765,23970,57852,19858,53659,10474,40029
도봉구,744,12761,0,0,0,0,0,0,122,6,23150,1054,52179,10558,132528,15897,142886,28011,86104,23761,62833,21779,53945,22941,53877,26357,50384,30857,43743,34714,39449,42981,42285,52211,43203,68103,41250,95728,28718,102953,20204,72280,16719,62886,12893,64322,6119,43702
강북구,1263,5555,0,0,0,0,0,0,45,4,14359,2827,34998,11617,92925,20710,101680,33789,65940,37472,47015,29714,44854,32871,46527,36249,48161,38722,46448,42609,46952,49002,52257,58082,52255,69567,51129,94113,39905,91048,40837,57273,24819,50307,19105,49746,9938,30340
성북구,828,5398,0,0,0,0,0,0,40,1,9830,1821,30305,9148,82594,18545,87355,40849,53093,33548,37688,29354,34647,31557,37719,28386,37970,32898,34429,32645,35170,33715,40535,40497,45032,49807,46426,66333,29155,65369,21303,43408,17889,38890,16261,42285,7786,28654
종로구,5157,5391,1,103,0,0,0,0,26,0,4405,2249,8504,20049,17264,46616,25003,115760,26410,102739,32795,81491,39032,77120,46008,84743,54424,108057,64703,104544,87757,81633,103434,81238,119222,87851,131649,99661,91573,78824,87034,31971,109528,25175,108855,22851,45808,14838
종로구,1730,2131,6,24,0,0,0,0,519,5,8051,2179,4485,14362,5905,36775,9523,81804,14317,72410,20908,63836,29259,57315,39501,51068,47277,54463,56249,49613,64542,42714,71088,35614,91530,30238,88002,25065,50423,30327,34605,21834,30554,14538,26448,9394,18080,8767
중구,3676,2972,0,3,0,1,0,0,216,4,9926,1634,6938,14166,9235,27086,12981,72367,15828,43336,17046,37625,20615,34775,25540,35877,30229,41058,37990,38448,45100,34325,51925,32813,65185,35280,89497,39909,65122,48302,51037,29061,49537,21627,44123,16637,27287,12075
